Downloaded on,03/10/2025,19:11:46 EDT,,,,,,,,,,,,
Search URL,https://www.congress.gov/search?q=%7B%22source%22%3A%22all%22%2C%22search%22%3A%22legislativeSource%3A%5C%22Legislation%5C%22+AND+congressId%3A118+AND+actionCode%3A%5C%225000%5C%22+AND+chamber%3A%5C%22House%5C%22%22%7D,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Legislation Number,URL,Congress,Title,Sponsor,Date of Introduction,Committees,Latest Action,Latest Action Date,Number of Cosponsors,Amends Bill,Date Offered,Date Submitted,Date Proposed,Amends Amendment
H.R. 5535,https://www.congress.gov/bill/118th-congress/house-bill/5535,118th Congress (2023-2024),Insurance Data Protection Act,"Fitzgerald, Scott [Rep.-R-WI-5]",09/18/2023,"House - Financial Services, Agriculture","Placed on the Union Calendar, Calendar No. 787.",12/19/2024,30,,,,,
H.R. 7687,https://www.congress.gov/bill/118th-congress/house-bill/7687,118th Congress (2023-2024),NASA SPREES Act,"Sorensen, Eric [Rep.-D-IL-17]",03/15/2024,"House - Science, Space, and Technology, Appropriations","Placed on the Union Calendar, Calendar No. 770.",12/19/2024,1,,,,,
H.R. 6070,https://www.congress.gov/bill/118th-congress/house-bill/6070,118th Congress (2023-2024),"To amend the Military Lands Withdrawal Act of 1999 to clarify the authority of Department of Defense to conduct certain military activities at the Nevada test and training range, and for other purposes.","Amodei, Mark E. [Rep.-R-NV-2]",10/26/2023,"House - Natural Resources, Armed Services","Placed on the Union Calendar, Calendar No. 777.",12/19/2024,2,,,,,
H.R. 1720,https://www.congress.gov/bill/118th-congress/house-bill/1720,118th Congress (2023-2024),Ocean Pollution Reduction Act II,"Peters, Scott H. [Rep.-D-CA-50]",03/22/2023,House - Transportation and Infrastructure,"Placed on the Union Calendar, Calendar No. 759.",12/19/2024,4,,,,,
H.R. 1380,https://www.congress.gov/bill/118th-congress/house-bill/1380,118th Congress (2023-2024),Protecting America’s Rock Climbing Act,"Curtis, John R. [Rep.-R-UT-3]",03/07/2023,"House - Natural Resources, Agriculture","Placed on the Union Calendar, Calendar No. 774.",12/19/2024,6,,,,,
H.R. 8811,https://www.congress.gov/bill/118th-congress/house-bill/8811,118th Congress (2023-2024),America’s Conservation Enhancement Reauthorization Act of 2024,"Wittman, Robert J. [Rep.-R-VA-1]",06/21/2024,"House - Natural Resources, Transportation and Infrastructure, Agriculture, Energy and Commerce","Placed on the Union Calendar, Calendar No. 778.",12/19/2024,5,,,,,
H.R. 7513,https://www.congress.gov/bill/118th-congress/house-bill/7513,118th Congress (2023-2024),Protecting American Seniors’ Access to Care Act,"Fischbach, Michelle [Rep.-R-MN-7]",03/01/2024,"House - Ways and Means, Energy and Commerce","Placed on the Union Calendar, Calendar No. 769.",12/19/2024,37,,,,,
H.R. 2948,https://www.congress.gov/bill/118th-congress/house-bill/2948,118th Congress (2023-2024),CARS Act,"Gooden, Lance [Rep.-R-TX-5]",04/27/2023,House - Transportation and Infrastructure,"Placed on the Union Calendar, Calendar No. 789.",12/19/2024,4,,,,,
H.R. 3556,https://www.congress.gov/bill/118th-congress/house-bill/3556,118th Congress (2023-2024),Increasing Financial Regulatory Accountability and Transparency Act,"Barr, Andy [Rep.-R-KY-6]",05/22/2023,"House - Financial Services, Oversight and Accountability, Rules","Placed on the Union Calendar, Calendar No. 781.",12/19/2024,4,,,,,
H.R. 3196,https://www.congress.gov/bill/118th-congress/house-bill/3196,118th Congress (2023-2024),Architect of the Capitol Appointment Act of 2023,"Steil, Bryan [Rep.-R-WI-1]",05/10/2023,"House - House Administration, Transportation and Infrastructure","Placed on the Union Calendar, Calendar No. 766.",12/19/2024,3,,,,,
H.R. 3244,https://www.congress.gov/bill/118th-congress/house-bill/3244,118th Congress (2023-2024),Stop Fentanyl Money Laundering Act of 2023,"Luetkemeyer, Blaine [Rep.-R-MO-3]",05/11/2023,"House - Financial Services, Judiciary","Placed on the Union Calendar, Calendar No. 780.",12/19/2024,8,,,,,
H.R. 4507,https://www.congress.gov/bill/118th-congress/house-bill/4507,118th Congress (2023-2024),Transparency in Coverage Act,"Good, Bob [Rep.-R-VA-5]",07/10/2023,"House - Education and the Workforce, Energy and Commerce, Ways and Means","Placed on the Union Calendar, Calendar No. 767.",12/19/2024,2,,,,,
H.R. 3378,https://www.congress.gov/bill/118th-congress/house-bill/3378,118th Congress (2023-2024),Agricultural Security Risk Review Act,"Lucas, Frank D. [Rep.-R-OK-3]",05/16/2023,"House - Financial Services, Energy and Commerce, Foreign Affairs","Placed on the Union Calendar, Calendar No. 783.",12/19/2024,6,,,,,
H.R. 2666,https://www.congress.gov/bill/118th-congress/house-bill/2666,118th Congress (2023-2024),Medicaid VBPs for Patients Act,"Guthrie, Brett [Rep.-R-KY-2]",04/18/2023,"House - Energy and Commerce, Ways and Means","Placed on the Union Calendar, Calendar No. 768.",12/19/2024,42,,,,,
H.R. 2367,https://www.congress.gov/bill/118th-congress/house-bill/2367,118th Congress (2023-2024),Truck Parking Safety Improvement Act,"Bost, Mike [Rep.-R-IL-12]",03/29/2023,House - Transportation and Infrastructure,"Placed on the Union Calendar, Calendar No. 788.",12/19/2024,53,,,,,
H.R. 3316,https://www.congress.gov/bill/118th-congress/house-bill/3316,118th Congress (2023-2024),"To amend titles 46 and 49, United States Code, to streamline the environmental review process for major projects, and for other purposes.","Crawford, Eric A. ""Rick"" [Rep.-R-AR-1]",05/15/2023,House - Transportation and Infrastructure,"Placed on the Union Calendar, Calendar No. 760.",12/19/2024,3,,,,,
H.R. 3356,https://www.congress.gov/bill/118th-congress/house-bill/3356,118th Congress (2023-2024),Motor Carrier Safety Screening Modernization Act,"Graves, Garret [Rep.-R-LA-6]",05/16/2023,House - Transportation and Infrastructure,"Placed on the Union Calendar, Calendar No. 761.",12/19/2024,4,,,,,
H.R. 133,https://www.congress.gov/bill/118th-congress/house-bill/133,118th Congress (2023-2024),MERIT Act,"Buchanan, Vern [Rep.-R-FL-16]",01/09/2023,"House - Energy and Commerce, Ways and Means","Placed on the Union Calendar, Calendar No. 779.",12/19/2024,6,,,,,
H.J.Res. 96,https://www.congress.gov/bill/118th-congress/house-joint-resolution/96,118th Congress (2023-2024),Compact of Free Association Amendments Act of 2023,"Westerman, Bruce [Rep.-R-AR-4]",11/02/2023,"House - Natural Resources, Foreign Affairs, Education and the Workforce, Veterans' Affairs, Oversight and Accountability, Agriculture, Ways and Means","Placed on the Union Calendar, Calendar No. 775.",12/19/2024,42,,,,,
H.R. 200,https://www.congress.gov/bill/118th-congress/house-bill/200,118th Congress (2023-2024),FIR Act,"Rosendale Sr., Matthew M. [Rep.-R-MT-2]",01/09/2023,"House - Natural Resources, Agriculture","Placed on the Union Calendar, Calendar No. 773.",12/19/2024,5,,,,,
H.R. 8505,https://www.congress.gov/bill/118th-congress/house-bill/8505,118th Congress (2023-2024),Household Goods Shipping Consumer Protection Act,"Norton, Eleanor Holmes [Del.-D-DC-At Large]",05/22/2024,House - Transportation and Infrastructure,"Placed on the Union Calendar, Calendar No. 765.",12/19/2024,24,,,,,
H.R. 4377,https://www.congress.gov/bill/118th-congress/house-bill/4377,118th Congress (2023-2024),"To amend the Military Lands Withdrawal Act of 1999 with respect to extensions, additions, and revisions to the Barry M. Goldwater Range in Arizona.","Grijalva, Raúl M. [Rep.-D-AZ-7]",06/27/2023,"House - Natural Resources, Armed Services","Placed on the Union Calendar, Calendar No. 772.",12/19/2024,1,,,,,
H.R. 8931,https://www.congress.gov/bill/118th-congress/house-bill/8931,118th Congress (2023-2024),To redesignate Saratoga National Historical Park as Saratoga National Battlefield Park.,"Stefanik, Elise M. [Rep.-R-NY-21]",07/02/2024,House - Natural Resources | Senate - Energy and Natural Resources,Received in the Senate and Read twice and referred to the Committee on Energy and Natural Resources.,12/18/2024,3,,,,,
H.R. 4043,https://www.congress.gov/bill/118th-congress/house-bill/4043,118th Congress (2023-2024),"To amend the Save Our Seas 2.0 Act to make the District of Columbia eligible for certain wastewater infrastructure grants, and for other purposes.","Norton, Eleanor Holmes [Del.-D-DC-At Large]",06/12/2023,House - Transportation and Infrastructure,"Placed on the Union Calendar, Calendar No. 732.",12/18/2024,0,,,,,
H.R. 4428,https://www.congress.gov/bill/118th-congress/house-bill/4428,118th Congress (2023-2024),Guidance Clarity Act,"Luetkemeyer, Blaine [Rep.-R-MO-3]",06/30/2023,House - Oversight and Accountability,"Placed on the Union Calendar, Calendar No. 738.",12/18/2024,9,,,,,
H.R. 7516,https://www.congress.gov/bill/118th-congress/house-bill/7516,118th Congress (2023-2024),Purchased and Referred Care Improvement Act of 2024,"Johnson, Dusty [Rep.-R-SD-At Large]",03/01/2024,"House - Natural Resources, Energy and Commerce","Placed on the Union Calendar, Calendar No. 748.",12/18/2024,11,,,,,
H.R. 7408,https://www.congress.gov/bill/118th-congress/house-bill/7408,118th Congress (2023-2024),America’s Wildlife Habitat Conservation Act,"Westerman, Bruce [Rep.-R-AR-4]",02/20/2024,"House - Natural Resources, Agriculture","Placed on the Union Calendar, Calendar No. 754.",12/18/2024,22,,,,,
H.R. 5582,https://www.congress.gov/bill/118th-congress/house-bill/5582,118th Congress (2023-2024),White Oak Resilience Act,"Barr, Andy [Rep.-R-KY-6]",09/20/2023,"House - Natural Resources, Agriculture, Education and the Workforce","Reported (Amended) by the Committee on Natural Resources. H. Rept. 118-910, Part I.",12/18/2024,10,,,,,
H.R. 5482,https://www.congress.gov/bill/118th-congress/house-bill/5482,118th Congress (2023-2024),Energy Poverty Prevention and Accountability Act of 2024,"Hageman, Harriet M. [Rep.-R-WY-At Large]",09/14/2023,"House - Natural Resources, Energy and Commerce, Agriculture, Budget, Rules","Placed on the Union Calendar, Calendar No. 755.",12/18/2024,18,,,,,
H.R. 7867,https://www.congress.gov/bill/118th-congress/house-bill/7867,118th Congress (2023-2024),REG Budgeting Act of 2024,"Fallon, Pat [Rep.-R-TX-4]",04/05/2024,"House - Oversight and Accountability, Judiciary","Placed on the Union Calendar, Calendar No. 736.",12/18/2024,2,,,,,
H.R. 115,https://www.congress.gov/bill/118th-congress/house-bill/115,118th Congress (2023-2024),Midnight Rules Relief Act,"Biggs, Andy [Rep.-R-AZ-5]",01/09/2023,"House - Judiciary, Rules | Senate - Homeland Security and Governmental Affairs",Received in the Senate and Read twice and referred to the Committee on Homeland Security and Governmental Affairs.,12/18/2024,5,,,,,
H.R. 8946,https://www.congress.gov/bill/118th-congress/house-bill/8946,118th Congress (2023-2024),Reversionary Interest Conveyance Act,"Matsui, Doris O. [Rep.-D-CA-7]",07/08/2024,House - Natural Resources | Senate - Energy and Natural Resources,Received in the Senate and Read twice and referred to the Committee on Energy and Natural Resources.,12/18/2024,0,,,,,
H.R. 3396,https://www.congress.gov/bill/118th-congress/house-bill/3396,118th Congress (2023-2024),Fire Department Repayment Act of 2023,"Harder, Josh [Rep.-D-CA-9]",05/17/2023,"House - Natural Resources, Agriculture, Armed Services, Science, Space, and Technology | Senate - Homeland Security and Governmental Affairs",Received in the Senate and Read twice and referred to the Committee on Homeland Security and Governmental Affairs.,12/18/2024,31,,,,,
H.R. 5401,https://www.congress.gov/bill/118th-congress/house-bill/5401,118th Congress (2023-2024),9/11 Memorial and Museum Act,"D'Esposito, Anthony [Rep.-R-NY-4]",09/12/2023,House - Natural Resources,Received in the Senate.,12/18/2024,41,,,,,
H.R. 6994,https://www.congress.gov/bill/118th-congress/house-bill/6994,118th Congress (2023-2024),ROUTES Act,"Kim, Young [Rep.-R-CA-40]",01/16/2024,"House - Natural Resources, Agriculture","Placed on the Union Calendar, Calendar No. 753.",12/18/2024,3,,,,,
H.R. 7003,https://www.congress.gov/bill/118th-congress/house-bill/7003,118th Congress (2023-2024),National Landslide Preparedness Act Reauthorization Act of 2024,"DelBene, Suzan K. [Rep.-D-WA-1]",01/17/2024,"House - Natural Resources, Science, Space, and Technology","Placed on the Union Calendar, Calendar No. 745.",12/18/2024,19,,,,,
H.R. 9516,https://www.congress.gov/bill/118th-congress/house-bill/9516,118th Congress (2023-2024),Military Families National Parks Access Enhancement Act,"Chavez-DeRemer, Lori [Rep.-R-OR-5]",09/10/2024,"House - Natural Resources, Agriculture | Senate - Energy and Natural Resources",Received in the Senate and Read twice and referred to the Committee on Energy and Natural Resources.,12/18/2024,6,,,,,
H.R. 8308,https://www.congress.gov/bill/118th-congress/house-bill/8308,118th Congress (2023-2024),Nutria Eradication and Control Reauthorization Act of 2024,"Harder, Josh [Rep.-D-CA-9]",05/08/2024,House - Natural Resources | Senate - Environment and Public Works,Received in the Senate and Read twice and referred to the Committee on Environment and Public Works.,12/18/2024,4,,,,,
H.R. 3173,https://www.congress.gov/bill/118th-congress/house-bill/3173,118th Congress (2023-2024),Northern Nevada Economic Development and Conservation Act of 2024,"Amodei, Mark E. [Rep.-R-NV-2]",05/10/2023,"House - Natural Resources, Agriculture","Placed on the Union Calendar, Calendar No. 752.",12/18/2024,0,,,,,
H.R. 6127,https://www.congress.gov/bill/118th-congress/house-bill/6127,118th Congress (2023-2024),MAPWaters Act,"Moore, Blake D. [Rep.-R-UT-1]",11/01/2023,"House - Natural Resources, Agriculture",Received in the Senate. Read twice. Placed on Senate Legislative Calendar under General Orders. Calendar No. 728.,12/18/2024,7,,,,,
H.R. 7532,https://www.congress.gov/bill/118th-congress/house-bill/7532,118th Congress (2023-2024),Federal A.I. Governance and Transparency Act of 2024,"Comer, James [Rep.-R-KY-1]",03/05/2024,House - Oversight and Accountability,"Placed on the Union Calendar, Calendar No. 740.",12/18/2024,7,,,,,
H.R. 4235,https://www.congress.gov/bill/118th-congress/house-bill/4235,118th Congress (2023-2024),"Wildfire Technology Demonstration, Evaluation, Modernization, and Optimization Act","Kim, Young [Rep.-R-CA-40]",06/21/2023,"House - Natural Resources, Agriculture","Placed on the Union Calendar, Calendar No. 747.",12/18/2024,12,,,,,
H.R. 2989,https://www.congress.gov/bill/118th-congress/house-bill/2989,118th Congress (2023-2024),Save Our Sequoias Act,"McCarthy, Kevin [Rep.-R-CA-20]",04/28/2023,"House - Natural Resources, Agriculture","Placed on the Union Calendar, Calendar No. 757.",12/18/2024,57,,,,,
H.R. 6342,https://www.congress.gov/bill/118th-congress/house-bill/6342,118th Congress (2023-2024),MVP Act,"Kiggans, Jennifer A [Rep.-R-VA-2]",11/09/2023,"House - Natural Resources, Agriculture, Veterans' Affairs","Placed on the Union Calendar, Calendar No. 744.",12/18/2024,6,,,,,
H.R. 7533,https://www.congress.gov/bill/118th-congress/house-bill/7533,118th Congress (2023-2024),Modernizing Retrospective Regulatory Review Act,"Biggs, Andy [Rep.-R-AZ-5]",03/05/2024,House - Oversight and Accountability,"Placed on the Union Calendar, Calendar No. 737.",12/18/2024,2,,,,,
H.R. 6012,https://www.congress.gov/bill/118th-congress/house-bill/6012,118th Congress (2023-2024),Fire Safe Electrical Corridors Act of 2023,"Carbajal, Salud O. [Rep.-D-CA-24]",10/20/2023,"House - Natural Resources, Agriculture","Reported (Amended) by the Committee on Natural Resources. H. Rept. 118-915, Part I.",12/18/2024,11,,,,,
H.R. 1209,https://www.congress.gov/bill/118th-congress/house-bill/1209,118th Congress (2023-2024),FOCA Act of 2023,"Comer, James [Rep.-R-KY-1]",02/27/2023,House - Oversight and Accountability,"Placed on the Union Calendar, Calendar No. 734.",12/18/2024,122,,,,,
H.R. 1319,https://www.congress.gov/bill/118th-congress/house-bill/1319,118th Congress (2023-2024),Biking on Long-Distance Trails Act,"Neguse, Joe [Rep.-D-CO-2]",03/01/2023,"House - Natural Resources, Agriculture","Placed on the Union Calendar, Calendar No. 742.",12/18/2024,6,,,,,
H.R. 3230,https://www.congress.gov/bill/118th-congress/house-bill/3230,118th Congress (2023-2024),Unfunded Mandates Accountability and Transparency Act of 2023,"Foxx, Virginia [Rep.-R-NC-5]",05/11/2023,"House - Oversight and Accountability, Rules, Budget, Judiciary","Placed on the Union Calendar, Calendar No. 741.",12/18/2024,6,,,,,
H.R. 3269,https://www.congress.gov/bill/118th-congress/house-bill/3269,118th Congress (2023-2024),Law Enforcement Innovate to De-Escalate Act,"Stanton, Greg [Rep.-D-AZ-4]",05/11/2023,"House - Ways and Means, Judiciary","Placed on the Union Calendar, Calendar No. 749.",12/18/2024,66,,,,,
H.R. 3283,https://www.congress.gov/bill/118th-congress/house-bill/3283,118th Congress (2023-2024),Facilitating DIGITAL Applications Act,"Miller-Meeks, Mariannette [Rep.-R-IA-1]",05/15/2023,"House - Energy and Commerce, Natural Resources, Agriculture","Placed on the Union Calendar, Calendar No. 746.",12/18/2024,1,,,,,
H.R. 1419,https://www.congress.gov/bill/118th-congress/house-bill/1419,118th Congress (2023-2024),Comprehensive Grizzly Bear Management Act of 2023,"Rosendale Sr., Matthew M. [Rep.-R-MT-2]",03/07/2023,House - Natural Resources,"Placed on the Union Calendar, Calendar No. 750.",12/18/2024,3,,,,,
H.R. 934,https://www.congress.gov/bill/118th-congress/house-bill/934,118th Congress (2023-2024),"To require the Secretary of Agriculture to carry out activities to suppress wildfires, and for other purposes.","McClintock, Tom [Rep.-R-CA-5]",02/09/2023,"House - Natural Resources, Agriculture","Reported (Amended) by the Committee on Natural Resources. H. Rept. 118-924, Part I.",12/18/2024,7,,,,,
H.R. 3562,https://www.congress.gov/bill/118th-congress/house-bill/3562,118th Congress (2023-2024),Forest Service Flexible Housing Partnerships Act of 2023,"Neguse, Joe [Rep.-D-CO-2]",05/22/2023,"House - Natural Resources, Agriculture","Reported (Amended) by the Committee on Natural Resources. H. Rept. 118-908, Part I.",12/18/2024,3,,,,,
H.R. 3049,https://www.congress.gov/bill/118th-congress/house-bill/3049,118th Congress (2023-2024),Utah School and Institutional Trust Lands Administration Exchange Act of 2023,"Curtis, John R. [Rep.-R-UT-3]",05/02/2023,House - Natural Resources,"Placed on the Union Calendar, Calendar No. 743.",12/18/2024,4,,,,,
H.R. 215,https://www.congress.gov/bill/118th-congress/house-bill/215,118th Congress (2023-2024),WATER for California,"Valadao, David G. [Rep.-R-CA-22]",01/09/2023,House - Natural Resources,"Placed on the Union Calendar, Calendar No. 751.",12/18/2024,12,,,,,
H.R. 188,https://www.congress.gov/bill/118th-congress/house-bill/188,118th Congress (2023-2024),Proven Forest Management Act of 2022,"McClintock, Tom [Rep.-R-CA-5]",01/09/2023,"House - Natural Resources, Agriculture","Reported (Amended) by the Committee on Natural Resources. H. Rept. 118-926, Part I.",12/18/2024,7,,,,,
H.R. 262,https://www.congress.gov/bill/118th-congress/house-bill/262,118th Congress (2023-2024),ALERT Act,"Good, Bob [Rep.-R-VA-5]",01/10/2023,"House - Oversight and Accountability, Judiciary","Placed on the Union Calendar, Calendar No. 739.",12/18/2024,3,,,,,
H.R. 5798,https://www.congress.gov/bill/118th-congress/house-bill/5798,118th Congress (2023-2024),Protecting Our Nation’s Capital Emergency Act of 2024,"Garbarino, Andrew R. [Rep.-R-NY-2]",09/28/2023,House - Oversight and Accountability,"Placed on the Union Calendar, Calendar No. 735.",12/18/2024,12,,,,,
H.R. 9135,https://www.congress.gov/bill/118th-congress/house-bill/9135,118th Congress (2023-2024),Ensuring Airline Resiliency to Reduce Delays and Cancellations Act,"Larsen, Rick [Rep.-D-WA-2]",07/25/2024,House - Transportation and Infrastructure,"Placed on the Union Calendar, Calendar No. 733.",12/18/2024,9,,,,,
H.Con.Res. 34,https://www.congress.gov/bill/118th-congress/house-concurrent-resolution/34,118th Congress (2023-2024),"Expressing disapproval of the withdrawal by the Secretary of the Interior of approximately 225,504 acres of National Forest System lands in Cook, Lake, and Saint Louis Counties, Minnesota, from disposition under the United States mineral and geothermal leasing laws.","Stauber, Pete [Rep.-R-MN-8]",04/25/2023,House - Natural Resources,"Placed on the Union Calendar, Calendar No. 758.",12/18/2024,0,,,,,
H.R. 4374,https://www.congress.gov/bill/118th-congress/house-bill/4374,118th Congress (2023-2024),Energy Opportunities for All Act,"Crane, Elijah [Rep.-R-AZ-2]",06/27/2023,House - Natural Resources,"Placed on the Union Calendar, Calendar No. 756.",12/18/2024,4,,,,,
H.R. 5015,https://www.congress.gov/bill/118th-congress/house-bill/5015,118th Congress (2023-2024),Seedlings for Sustainable Habitat Restoration Act of 2023,"Leger Fernandez, Teresa [Rep.-D-NM-3]",07/27/2023,"House - Natural Resources, Agriculture","Reported (Amended) by the Committee on Natural Resources. H. Rept. 118-912, Part I.",12/18/2024,7,,,,,
H.R. 8150,https://www.congress.gov/bill/118th-congress/house-bill/8150,118th Congress (2023-2024),Reducing Excessive Vetting Authorities to Maintain our Ports Act,"Gonzales, Tony [Rep.-R-TX-23]",04/29/2024,"House - Homeland Security, Ways and Means",Received in the Senate. Read twice. Placed on Senate Legislative Calendar under General Orders. Calendar No. 715.,12/17/2024,5,,,,,
H.R. 8631,https://www.congress.gov/bill/118th-congress/house-bill/8631,118th Congress (2023-2024),Decoupling from Foreign Adversarial Battery Dependence Act,"Gimenez, Carlos A. [Rep.-R-FL-28]",06/05/2024,House - Homeland Security | Senate - Homeland Security and Governmental Affairs,Placed on Senate Legislative Calendar under General Orders. Calendar No. 713.,12/17/2024,4,,,,,
H.R. 2407,https://www.congress.gov/bill/118th-congress/house-bill/2407,118th Congress (2023-2024),Nancy Gardner Sewell Medicare Multi-Cancer Early Detection Screening Coverage Act,"Arrington, Jodey C. [Rep.-R-TX-19]",03/30/2023,"House - Ways and Means, Energy and Commerce","Reported (Amended) by the Committee on Ways and Means. H. Rept. 118-893, Part I.",12/17/2024,319,,,,,
